participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
202,0,0,35,23,8,1,1,0,-1,,1,-1,,,,,0,1,,,0,-1,1,1,1,-1,,,1,1,,1,1,1,1,,-1,0,-1,1,1,1,1,1,1,1,1,,-1,1,-1,1,,,,,,,,,,,,,,,,,
203,0,0,28,15,3,1,,0,1,1,,1,1,-1,0,,0,,,,0,1,1,,,0,1,,1,,1,0,,1,,,-1,1,1,,,0,0,0,-1,,1,,,,0,,1,,,,,,,,,,,,,,,,
204,0,0,15,11,4,1,,,-1,,,,,,,-1,,,,,,-1,,,,,1,,,1,,1,1,,,1,,,,1,,1,,,1,1,1,,-1,,,,,,,,,,,,,,,,,,,,
208,0,0,37,29,8,1,,,1,1,1,-1,1,,,-1,-1,1,1,-1,,-1,1,1,1,-1,1,1,1,,1,1,1,,1,1,1,,1,1,1,-1,1,1,,-1,1,1,,1,1,1,,,,,,,,,,,,,,,,,
210,0,0,12,9,2,-1,,,,,,,,,,-1,,,,,0,,,,1,,,,,,,1,,,,,1,1,,1,,,1,,,1,,,,1,,1,,,,,,,,,,,,,,,,,
217,0,0,49,31,16,1,0,0,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,,,,,,,,,,,,,,,
218,0,0,24,17,3,1,0,,0,,1,1,,,-1,-1,,,1,1,0,,1,1,1,,1,1,,,,,,1,,1,1,,,,,1,,,1,,,,0,1,-1,,,1,,,,,,,,,,,,,,,
221,0,1,19,9,5,1,0,,,,,-1,-1,,,-1,,,-1,0,,,1,1,,,,,,,0,1,,1,1,,0,1,,,1,,,,,0,,,,,-1,,,,1,,,,,,,,,,,,,,
222,0,0,14,8,5,1,,,1,,,-1,-1,,,-1,,1,-1,,,,,1,,,,1,1,0,,,,1,,,,,,,,,,,-1,,,,,,,,,1,,,,,,,,,,,,,,,
224,0,0,31,21,10,1,1,,,1,1,-1,-1,-1,-1,-1,,1,-1,,-1,,1,,,-1,1,1,,,1,1,,1,1,,,,1,,1,,1,1,-1,,1,,,1,-1,1,,1,1,,,,,,,,,,,,,,
